"gor-table-header-cell-text","gor-table-data-cell"
"16-Jährige","750.057"
"17-Jährige","766.249"
"18-Jährige","772.950"
"19-Jährige","797.706"
"20-Jährige","831.435"
"21-Jährige","884.287"
"22-Jährige","902.991"
"23-Jährige","930.132"
"24-Jährige","973.682"
"25-Jährige","968.595"
"26-Jährige","953.757"
"27-Jährige","966.208"
"28-Jährige","994.633"
"29-Jährige","1.009.536"
"30-Jährige","1.042.411"
"31-Jährige","1.134.154"
"32-Jährige","1.118.705"
"33-Jährige","1.141.779"
"34-Jährige","1.116.555"
"35-Jährige","1.094.982"
"36-Jährige","1.061.333"
"37-Jährige","1.053.033"
"38-Jährige","1.053.223"
"39-Jährige","1.072.623"
"40-Jährige","1.062.573"
"41-Jährige","1.066.630"
"42-Jährige","1.014.635"
"43-Jährige","999.583"
"44-Jährige","988.878"
"45-Jährige","969.960"
"46-Jährige","943.804"
"47-Jährige","954.234"
"48-Jährige","959.948"
"49-Jährige","1.036.458"
"50-Jährige","1.135.710"
"51-Jährige","1.174.754"
"52-Jährige","1.257.877"
"53-Jährige","1.313.453"
"54-Jährige","1.343.318"
"55-Jährige","1.374.519"
"56-Jährige","1.373.938"
"57-Jährige","1.394.414"
"58-Jährige","1.376.677"
"59-Jährige","1.327.249"
"60-Jährige","1.300.524"
"61-Jährige","1.250.775"
"62-Jährige","1.208.290"
"63-Jährige","1.134.297"
"64-Jährige","1.100.158"
"65-Jährige","1.061.809"
"66-Jährige","1.020.393"
"67-Jährige","991.948"
"68-Jährige","951.916"
"69-Jährige","941.864"
"70-Jährige","913.046"
"71-Jährige","902.997"
"72-Jährige","862.165"
"73-Jährige","776.134"
"74-Jährige","718.950"
