Jahr,Anzahl
31.12.2000,82259540
31.12.2001,82440309
31.12.2002,82536680
31.12.2003,82531671
31.12.2004,82500849
31.12.2005,82437995
31.12.2006,82314906
31.12.2007,82217837
31.12.2008,82002356
31.12.2009,81802257
31.12.2010,81751602
31.12.2011,80327900
31.12.2012,80523746
31.12.2013,80767463
31.12.2014,81197537
31.12.2015,82175684
31.12.2016,82521653
31.12.2017,82792351
31.12.2018,83019213
31.12.2019,83166711
31.12.2020,83155031
31.12.2021,83237124
31.12.2022,83118501
31.12.2023,83456045
31.12.2024,83577140
