OPS-Kode,Year,Altersgruppe,Wert
5-646.0,2006,Insgesamt,170
5-646.0,2006,unter 15,1
5-646.0,2006,15-20,2
5-646.0,2006,20-25,16
5-646.0,2006,25-30,29
5-646.0,2006,30-35,46
5-646.0,2006,35-40,31
5-646.0,2006,40-45,24
5-646.0,2006,45-50,18
5-646.0,2006,50-55,1
5-646.0,2006,55-60,0
5-646.0,2006,60 und älter,2
5-646.1,2006,Insgesamt,171
5-646.1,2006,unter 15,0
5-646.1,2006,15-20,5
5-646.1,2006,20-25,11
5-646.1,2006,25-30,17
5-646.1,2006,30-35,13
5-646.1,2006,35-40,29
5-646.1,2006,40-45,46
5-646.1,2006,45-50,21
5-646.1,2006,50-55,16
5-646.1,2006,55-60,8
5-646.1,2006,60 und älter,5
5-646.x,2006,Insgesamt,2
5-646.x,2006,unter 15,0
5-646.x,2006,15-20,0
5-646.x,2006,20-25,0
5-646.x,2006,25-30,0
5-646.x,2006,30-35,1
5-646.x,2006,35-40,0
5-646.x,2006,40-45,0
5-646.x,2006,45-50,1
5-646.x,2006,50-55,0
5-646.x,2006,55-60,0
5-646.x,2006,60 und älter,0
5-646.y,2006,Insgesamt,2
5-646.y,2006,unter 15,0
5-646.y,2006,15-20,0
5-646.y,2006,20-25,1
5-646.y,2006,25-30,0
5-646.y,2006,30-35,1
5-646.y,2006,35-40,0
5-646.y,2006,40-45,0
5-646.y,2006,45-50,0
5-646.y,2006,50-55,0
5-646.y,2006,55-60,0
5-646.y,2006,60 und älter,0
5-646.0,2007,Insgesamt,208
5-646.0,2007,unter 15,0
5-646.0,2007,15-20,5
5-646.0,2007,20-25,23
5-646.0,2007,25-30,38
5-646.0,2007,30-35,56
5-646.0,2007,35-40,28
5-646.0,2007,40-45,39
5-646.0,2007,45-50,13
5-646.0,2007,50-55,3
5-646.0,2007,55-60,1
5-646.0,2007,60 und älter,2
5-646.1,2007,Insgesamt,207
5-646.1,2007,unter 15,1
5-646.1,2007,15-20,9
5-646.1,2007,20-25,17
5-646.1,2007,25-30,22
5-646.1,2007,30-35,26
5-646.1,2007,35-40,33
5-646.1,2007,40-45,44
5-646.1,2007,45-50,21
5-646.1,2007,50-55,16
5-646.1,2007,55-60,11
5-646.1,2007,60 und älter,7
5-646.x,2007,Insgesamt,3
5-646.x,2007,unter 15,0
5-646.x,2007,15-20,0
5-646.x,2007,20-25,0
5-646.x,2007,25-30,0
5-646.x,2007,30-35,0
5-646.x,2007,35-40,1
5-646.x,2007,40-45,1
5-646.x,2007,45-50,1
5-646.x,2007,50-55,0
5-646.x,2007,55-60,0
5-646.x,2007,60 und älter,0
5-646.y,2007,Insgesamt,1
5-646.y,2007,unter 15,0
5-646.y,2007,15-20,0
5-646.y,2007,20-25,0
5-646.y,2007,25-30,0
5-646.y,2007,30-35,0
5-646.y,2007,35-40,0
5-646.y,2007,40-45,0
5-646.y,2007,45-50,1
5-646.y,2007,50-55,0
5-646.y,2007,55-60,0
5-646.0,2008,Insgesamt,209
5-646.0,2008,unter 15,0
5-646.0,2008,15-20,4
5-646.0,2008,20-25,28
5-646.0,2008,25-30,31
5-646.0,2008,30-35,46
5-646.0,2008,35-40,25
5-646.0,2008,40-45,46
5-646.0,2008,45-50,19
5-646.0,2008,50-55,7
5-646.0,2008,55-60,1
5-646.0,2008,60 und älter,2
5-646.1,2008,Insgesamt,247
5-646.1,2008,unter 15,0
5-646.1,2008,15-20,8
5-646.1,2008,20-25,25
5-646.1,2008,25-30,28
5-646.1,2008,30-35,27
5-646.1,2008,35-40,40
5-646.1,2008,40-45,40
5-646.1,2008,45-50,40
5-646.1,2008,50-55,25
5-646.1,2008,55-60,8
5-646.1,2008,60 und älter,6
5-646.x,2008,Insgesamt,4
5-646.x,2008,unter 15,0
5-646.x,2008,15-20,0
5-646.x,2008,20-25,0
5-646.x,2008,25-30,1
5-646.x,2008,30-35,1
5-646.x,2008,35-40,0
5-646.x,2008,40-45,1
5-646.x,2008,45-50,1
5-646.x,2008,50-55,0
5-646.x,2008,55-60,0
5-646.x,2008,60 und älter,0
5-646.y,2008,Insgesamt,2
5-646.y,2008,unter 15,0
5-646.y,2008,15-20,0
5-646.y,2008,20-25,0
5-646.y,2008,25-30,0
5-646.y,2008,30-35,0
5-646.y,2008,35-40,0
5-646.y,2008,40-45,2
5-646.y,2008,45-50,0
5-646.y,2008,50-55,0
5-646.y,2008,55-60,0
5-646.y,2008,60 und älter,0
5-646.0,2009,Insgesamt,251
5-646.0,2009,unter 15,0
5-646.0,2009,15-20,8
5-646.0,2009,20-25,41
5-646.0,2009,25-30,45
5-646.0,2009,30-35,57
5-646.0,2009,35-40,40
5-646.0,2009,40-45,33
5-646.0,2009,45-50,20
5-646.0,2009,50-55,3
5-646.0,2009,55-60,2
5-646.0,2009,60 und älter,2
5-646.1,2009,Insgesamt,221
5-646.1,2009,unter 15,0
5-646.1,2009,15-20,13
5-646.1,2009,20-25,19
5-646.1,2009,25-30,21
5-646.1,2009,30-35,27
5-646.1,2009,35-40,28
5-646.1,2009,40-45,48
5-646.1,2009,45-50,21
5-646.1,2009,50-55,27
5-646.1,2009,55-60,11
5-646.1,2009,60 und älter,6
5-646.x,2009,Insgesamt,0
5-646.x,2009,unter 15,0
5-646.x,2009,15-20,0
5-646.x,2009,20-25,0
5-646.x,2009,25-30,0
5-646.x,2009,30-35,0
5-646.x,2009,35-40,0
5-646.x,2009,40-45,0
5-646.x,2009,45-50,0
5-646.x,2009,50-55,0
5-646.x,2009,55-60,0
5-646.x,2009,60 und älter,0
5-646.y,2009,Insgesamt,0
5-646.y,2009,unter 15,0
5-646.y,2009,15-20,0
5-646.y,2009,20-25,0
5-646.y,2009,25-30,0
5-646.y,2009,30-35,0
5-646.y,2009,35-40,0
5-646.y,2009,40-45,0
5-646.y,2009,45-50,0
5-646.y,2009,50-55,0
5-646.y,2009,55-60,0
5-646.y,2009,60 und älter,0
5-646.0,2010,Insgesamt,293
5-646.0,2010,unter 15,0
5-646.0,2010,15-20,15
5-646.0,2010,20-25,41
5-646.0,2010,25-30,56
5-646.0,2010,30-35,74
5-646.0,2010,35-40,48
5-646.0,2010,40-45,28
5-646.0,2010,45-50,13
5-646.0,2010,50-55,14
5-646.0,2010,55-60,3
5-646.0,2010,60 und älter,1
5-646.1,2010,Insgesamt,269
5-646.1,2010,unter 15,0
5-646.1,2010,15-20,7
5-646.1,2010,20-25,28
5-646.1,2010,25-30,26
5-646.1,2010,30-35,34
5-646.1,2010,35-40,34
5-646.1,2010,40-45,45
5-646.1,2010,45-50,37
5-646.1,2010,50-55,37
5-646.1,2010,55-60,6
5-646.1,2010,60 und älter,15
5-646.x,2010,Insgesamt,2
5-646.x,2010,unter 15,0
5-646.x,2010,15-20,0
5-646.x,2010,20-25,0
5-646.x,2010,25-30,1
5-646.x,2010,30-35,1
5-646.x,2010,35-40,0
5-646.x,2010,40-45,0
5-646.x,2010,45-50,0
5-646.x,2010,50-55,0
5-646.x,2010,55-60,0
5-646.x,2010,60 und älter,0
5-646.y,2010,Insgesamt,0
5-646.0,2011,Insgesamt,414
5-646.0,2011,unter 15,0
5-646.0,2011,15-20,16
5-646.0,2011,20-25,71
5-646.0,2011,25-30,79
5-646.0,2011,30-35,75
5-646.0,2011,35-40,65
5-646.0,2011,40-45,62
5-646.0,2011,45-50,30
5-646.0,2011,50-55,10
5-646.0,2011,55-60,4
5-646.0,2011,60 und älter,2
5-646.1,2011,Insgesamt,276
5-646.1,2011,unter 15,0
5-646.1,2011,15-20,12
5-646.1,2011,20-25,30
5-646.1,2011,25-30,25
5-646.1,2011,30-35,27
5-646.1,2011,35-40,27
5-646.1,2011,40-45,52
5-646.1,2011,45-50,49
