Jahr,Geschlecht,unter 1 Jahr,1 bis unter 5 Jahre,5 bis unter 10 Jahre,10 bis unter 15 Jahre,15 bis unter 18 Jahre,18 bis unter 20 Jahre,20 bis unter 25 Jahre,25 bis unter 30 Jahre,30 bis unter 35 Jahre,35 bis unter 40 Jahre,40 bis unter 45 Jahre,45 bis unter 50 Jahre,50 bis unter 55 Jahre,55 bis unter 60 Jahre,60 bis unter 65 Jahre,65 bis unter 70 Jahre,70 bis unter 75 Jahre,75 bis unter 80 Jahre,80 bis unter 85 Jahre,85 bis unter 90 Jahre,90 bis unter 95 Jahre,95 Jahre und mehr,Insgesamt
2000,Alle Geschlechter,3,1,1,2,2,11,74,104,147,123,86,66,23,10,10,9,6,7,2,6,2,1,696
2001,Alle Geschlechter,3,3,3,4,7,13,83,119,190,183,111,66,32,9,7,4,1,3,2,1,1,-,845
2002,Alle Geschlechter,9,2,-,1,2,13,101,161,164,184,158,84,42,16,7,2,2,-,1,1,-,-,950
2003,Alle Geschlechter,-,2,-,3,3,17,84,166,150,164,138,61,43,14,12,2,-,2,1,-,-,-,862
2004,Alle Geschlechter,2,-,2,1,1,8,78,115,91,131,109,61,52,16,8,1,-,-,-,-,-,-,676
2005,Alle Geschlechter,2,1,1,4,6,9,66,109,102,110,91,73,28,13,8,5,-,-,1,-,-,-,629
2006,Alle Geschlechter,-,-,-,3,13,13,83,123,113,105,127,82,30,15,11,3,1,1,-,-,-,-,723
2007,Alle Geschlechter,-,-,1,1,7,23,86,127,140,121,149,68,36,18,10,4,2,-,-,-,-,-,793
2009,Alle Geschlechter,-,-,-,4,15,27,114,130,148,129,141,61,56,24,13,2,-,-,-,-,-,-,864
2010,Alle Geschlechter,1,1,-,3,10,44,117,143,184,134,130,91,84,25,20,4,2,-,1,-,-,-,994
2011,Alle Geschlechter,-,-,1,2,11,44,163,188,175,119,169,140,76,29,5,5,3,1,-,-,-,-,1131
2012,Alle Geschlechter,-,-,-,2,14,45,215,227,241,175,156,166,115,38,16,6,6,2,-,-,-,-,1424
2013,Alle Geschlechter,-,-,-,2,22,55,318,274,270,183,144,170,92,55,32,7,4,2,1,-,-,-,1631
2014,Alle Geschlechter,-,-,1,8,44,58,352,320,275,233,169,184,104,64,17,5,-,-,-,-,-,-,1834
2015,Alle Geschlechter,-,-,-,9,40,118,403,411,347,261,194,206,140,59,21,6,-,-,-,-,-,-,2215
2016,Alle Geschlechter,-,-,1,8,67,170,581,523,375,326,239,228,167,83,27,5,1,1,-,-,-,-,2802
2017,Alle Geschlechter,1,-,-,9,80,178,620,580,368,286,227,175,181,104,37,11,1,2,-,-,-,-,2860
2018,Alle Geschlechter,-,1,1,9,104,265,751,712,407,333,234,210,163,118,49,22,3,1,-,-,-,-,3383
2019,Alle Geschlechter,-,-,-,14,132,379,1047,864,527,363,236,202,192,138,56,26,2,1,1,-,-,-,4180
2020,Alle Geschlechter,-,-,-,11,134,354,1133,862,527,346,271,169,185,111,65,22,6,1,-,-,-,-,4197
2021,Alle Geschlechter,-,-,-,13,157,416,1381,945,595,334,295,198,186,107,48,18,6,2,-,-,-,-,4701
2022,Alle Geschlechter,1,-,-,6,135,445,1415,1090,633,337,272,155,153,123,45,29,10,1,-,-,-,-,4850
2023,Alle Geschlechter,-,-,-,4,155,460,1751,1272,756,464,306,211,171,149,58,35,8,-,3,1,-,-,5804
2024,Alle Geschlechter,-,-,-,6,125,470,1804,1544,900,503,339,205,162,136,74,20,11,1,3,-,-,-,6303
