Klinikum,Jahr,Fallzahl,
Universitätsklinikum Münster,2023,Datenschutz,
Universitätsklinikum Münster,2022,Datenschutz,Kompetenzzentrum eröffnet
Universitätsklinikum Münster,2021,6,
Universitätsklinikum Münster,2020,Datenschutz,
Universitätsklinikum Münster,2019,Datenschutz,
Universitätsklinikum Münster,2018,4,
Universitätsklinikum Münster,2017,4,
Universitätsklinikum Münster,2016,Datenschutz,
Universitätsklinikum Münster,2015,Datenschutz,
Universitätsklinikum Münster,2014,?,
Universitätsklinikum Münster,2013,?,
Universitätsklinikum Münster,2012,Datenschutz,
Universitätsklinikum Münster,2011,Keine Daten,
Universitätsklinikum Münster,2010,?,
Universitätsklinikum Münster,2009,Keine Daten,
Universitätsklinikum Münster,2008,?,
,,,
,,,
Datenschutz greift bei weniger als 4 Behandlungen,,,
