Jahr,Altersgruppe,Attribute,Value
2005,unter 1 Jahr,männlich,351737
2005,unter 1 Jahr,weiblich,334250
2005,unter 1 Jahr,Insgesamt,685987
2005,1,männlich,363116
2005,1,weiblich,344897
2005,1,Insgesamt,708013
2005,2,männlich,364536
2005,2,weiblich,346058
2005,2,Insgesamt,710594
2005,3,männlich,371670
2005,3,weiblich,352842
2005,3,Insgesamt,724512
2005,4,männlich,380501
2005,4,weiblich,361251
2005,4,Insgesamt,741752
2005,5,männlich,396342
2005,5,weiblich,378945
2005,5,Insgesamt,775287
2005,6,männlich,399689
2005,6,weiblich,377784
2005,6,Insgesamt,777473
2005,7,männlich,406942
2005,7,weiblich,386483
2005,7,Insgesamt,793425
2005,8,männlich,419859
2005,8,weiblich,398573
2005,8,Insgesamt,818432
2005,9,männlich,412696
2005,9,weiblich,391207
2005,9,Insgesamt,803903
2005,10,männlich,399588
2005,10,weiblich,379655
2005,10,Insgesamt,779243
2005,11,männlich,405460
2005,11,weiblich,383894
2005,11,Insgesamt,789354
2005,12,männlich,421848
2005,12,weiblich,400064
2005,12,Insgesamt,821912
2005,13,männlich,431986
2005,13,weiblich,411191
2005,13,Insgesamt,843177
2005,14,männlich,449577
2005,14,weiblich,427231
2005,14,Insgesamt,876808
2005,15,männlich,495685
2005,15,weiblich,469683
2005,15,Insgesamt,965368
2005,16,männlich,490400
2005,16,weiblich,466431
2005,16,Insgesamt,956831
2005,17,männlich,505902
2005,17,weiblich,479431
2005,17,Insgesamt,985333
2005,18,männlich,497202
2005,18,weiblich,470811
2005,18,Insgesamt,968013
2005,19,männlich,490616
2005,19,weiblich,469628
2005,19,Insgesamt,960244
2005,20,männlich,478446
2005,20,weiblich,461214
2005,20,Insgesamt,939660
2005,21,männlich,481571
2005,21,weiblich,465651
2005,21,Insgesamt,947222
2005,22,männlich,488747
2005,22,weiblich,475758
2005,22,Insgesamt,964505
2005,23,männlich,506183
2005,23,weiblich,492833
2005,23,Insgesamt,999016
2005,24,männlich,506525
2005,24,weiblich,496880
2005,24,Insgesamt,1003405
2005,25,männlich,514066
2005,25,weiblich,502780
2005,25,Insgesamt,1016846
2005,26,männlich,492166
2005,26,weiblich,479690
2005,26,Insgesamt,971856
2005,27,männlich,488365
2005,27,weiblich,474272
2005,27,Insgesamt,962637
2005,28,männlich,485035
2005,28,weiblich,471175
2005,28,Insgesamt,956210
2005,29,männlich,479426
2005,29,weiblich,465102
2005,29,Insgesamt,944528
2005,30,männlich,469159
2005,30,weiblich,452937
2005,30,Insgesamt,922096
2005,31,männlich,475355
2005,31,weiblich,461443
2005,31,Insgesamt,936798
2005,32,männlich,481713
2005,32,weiblich,467383
2005,32,Insgesamt,949096
2005,33,männlich,530540
2005,33,weiblich,512006
2005,33,Insgesamt,1042546
2005,34,männlich,587988
2005,34,weiblich,564652
2005,34,Insgesamt,1152640
2005,35,männlich,617558
2005,35,weiblich,589332
2005,35,Insgesamt,1206890
2005,36,männlich,664394
2005,36,weiblich,632033
2005,36,Insgesamt,1296427
2005,37,männlich,696942
2005,37,weiblich,662406
2005,37,Insgesamt,1359348
2005,38,männlich,714021
2005,38,weiblich,680225
2005,38,Insgesamt,1394246
2005,39,männlich,735710
2005,39,weiblich,698521
2005,39,Insgesamt,1434231
2005,40,männlich,743595
2005,40,weiblich,700539
2005,40,Insgesamt,1444134
2005,41,männlich,754932
2005,41,weiblich,714611
2005,41,Insgesamt,1469543
2005,42,männlich,749747
2005,42,weiblich,711854
2005,42,Insgesamt,1461601
2005,43,männlich,725161
2005,43,weiblich,692436
2005,43,Insgesamt,1417597
2005,44,männlich,711492
2005,44,weiblich,685636
2005,44,Insgesamt,1397128
2005,45,männlich,691817
2005,45,weiblich,667622
2005,45,Insgesamt,1359439
2005,46,männlich,670043
2005,46,weiblich,646595
2005,46,Insgesamt,1316638
2005,47,männlich,636503
2005,47,weiblich,614143
2005,47,Insgesamt,1250646
2005,48,männlich,622901
2005,48,weiblich,602868
2005,48,Insgesamt,1225769
2005,49,männlich,606199
2005,49,weiblich,590314
2005,49,Insgesamt,1196513
2005,50,männlich,586570
2005,50,weiblich,575880
2005,50,Insgesamt,1162450
2005,51,männlich,572961
2005,51,weiblich,571229
2005,51,Insgesamt,1144190
2005,52,männlich,553385
2005,52,weiblich,556218
2005,52,Insgesamt,1109603
2005,53,männlich,554018
2005,53,weiblich,558562
2005,53,Insgesamt,1112580
2005,54,männlich,542729
2005,54,weiblich,548016
2005,54,Insgesamt,1090745
2005,55,männlich,545773
2005,55,weiblich,551808
2005,55,Insgesamt,1097581
2005,56,männlich,528725
2005,56,weiblich,531008
2005,56,Insgesamt,1059733
2005,57,männlich,487152
2005,57,weiblich,487288
2005,57,Insgesamt,974440
2005,58,männlich,456725
2005,58,weiblich,460947
2005,58,Insgesamt,917672
2005,59,männlich,399642
2005,59,weiblich,404389
2005,59,Insgesamt,804031
2005,60,männlich,350375
2005,60,weiblich,361334
2005,60,Insgesamt,711709
2005,61,männlich,464868
2005,61,weiblich,478453
2005,61,Insgesamt,943321
2005,62,männlich,472283
2005,62,weiblich,485608
2005,62,Insgesamt,957891
2005,63,männlich,457759
2005,63,weiblich,473999
2005,63,Insgesamt,931758
2005,64,männlich,548943
2005,64,weiblich,576402
2005,64,Insgesamt,1125345
2005,65,männlich,573091
2005,65,weiblich,610205
2005,65,Insgesamt,1183296
2005,66,männlich,556224
2005,66,weiblich,600043
2005,66,Insgesamt,1156267
2005,67,männlich,513752
2005,67,weiblich,560888
2005,67,Insgesamt,1074640
2005,68,männlich,473211
2005,68,weiblich,524207
2005,68,Insgesamt,997418
2005,69,männlich,451345
2005,69,weiblich,511433
2005,69,Insgesamt,962778
2005,70,männlich,427346
2005,70,weiblich,492336
2005,70,Insgesamt,919682
2005,71,männlich,388536
2005,71,weiblich,455813
2005,71,Insgesamt,844349
2005,72,männlich,305478
2005,72,weiblich,367837
2005,72,Insgesamt,673315
2005,73,männlich,294958
2005,73,weiblich,365382
2005,73,Insgesamt,660340
2005,74,männlich,290519
2005,74,weiblich,371525
2005,74,Insgesamt,662044
2005,75,männlich,293720
2005,75,weiblich,388886
2005,75,Insgesamt,682606
2005,76,männlich,272147
2005,76,weiblich,374104
2005,76,Insgesamt,646251
2005,77,männlich,258321
2005,77,weiblich,366239
2005,77,Insgesamt,624560
2005,78,männlich,220831
2005,78,weiblich,344639
2005,78,Insgesamt,565470
2005,79,männlich,194331
2005,79,weiblich,341907
2005,79,Insgesamt,536238
2005,80,männlich,172531
2005,80,weiblich,335879
2005,80,Insgesamt,508410
2005,81,männlich,139994
2005,81,weiblich,310439
2005,81,Insgesamt,450433
2005,82,männlich,123911
2005,82,weiblich,290565
2005,82,Insgesamt,414476
2005,83,männlich,118401
2005,83,weiblich,282313
2005,83,Insgesamt,400714
2005,84,männlich,108358
2005,84,weiblich,275619
2005,84,Insgesamt,383977
2005,85 +,männlich,379396
2005,85 +,weiblich,1143414
2005,85 +,Insgesamt,1522810
2005,Insgesamt,männlich,40000000
2005,Insgesamt,weiblich,42000000
2005,Insgesamt,Insgesamt,82437995
2006,unter 1 Jahr,männlich,345871
2006,unter 1 Jahr,weiblich,327261
2006,unter 1 Jahr,Insgesamt,673132
2006,1,männlich,353014
2006,1,weiblich,335484
2006,1,Insgesamt,688498
2006,2,männlich,363343
2006,2,weiblich,345015
2006,2,Insgesamt,708358
2006,3,männlich,364253
2006,3,weiblich,345966
2006,3,Insgesamt,710219
2006,4,männlich,371355
2006,4,weiblich,352584
2006,4,Insgesamt,723939
2006,5,männlich,380209
2006,5,weiblich,360808
2006,5,Insgesamt,741017
2006,6,männlich,395419
2006,6,weiblich,378131
2006,6,Insgesamt,773550
2006,7,männlich,398890
2006,7,weiblich,377147
2006,7,Insgesamt,776037
2006,8,männlich,406485
2006,8,weiblich,386045
2006,8,Insgesamt,792530
2006,9,männlich,419518
2006,9,weiblich,398184
2006,9,Insgesamt,817702
2006,10,männlich,412448
2006,10,weiblich,390896
2006,10,Insgesamt,803344
2006,11,männlich,399472
2006,11,weiblich,379605
2006,11,Insgesamt,779077
2006,12,männlich,405387
2006,12,weiblich,383858
2006,12,Insgesamt,789245
2006,13,männlich,421711
2006,13,weiblich,399963
2006,13,Insgesamt,821674
2006,14,männlich,431875
2006,14,weiblich,411169
2006,14,Insgesamt,843044
2006,15,männlich,449737
2006,15,weiblich,427383
2006,15,Insgesamt,877120
2006,16,männlich,496034
2006,16,weiblich,470136
2006,16,Insgesamt,966170
2006,17,männlich,490401
2006,17,weiblich,467093
2006,17,Insgesamt,957494
2006,18,männlich,506409
2006,18,weiblich,481015
2006,18,Insgesamt,987424
2006,19,männlich,499275
2006,19,weiblich,474881
2006,19,Insgesamt,974156
2006,20,männlich,493441
2006,20,weiblich,474955
2006,20,Insgesamt,968396
2006,21,männlich,481576
2006,21,weiblich,466182
2006,21,Insgesamt,947758
2006,22,männlich,484761
2006,22,weiblich,470196
2006,22,Insgesamt,954957
2006,23,männlich,492372
2006,23,weiblich,479663
2006,23,Insgesamt,972035
2006,24,männlich,509267
2006,24,weiblich,495857
2006,24,Insgesamt,1005124
2006,25,männlich,508438
2006,25,weiblich,498637
2006,25,Insgesamt,1007075
2006,26,männlich,515198
2006,26,weiblich,503822
2006,26,Insgesamt,1019020
2006,27,männlich,492853
2006,27,weiblich,480458
2006,27,Insgesamt,973311
2006,28,männlich,488566
2006,28,weiblich,474773
2006,28,Insgesamt,963339
2006,29,männlich,484883
2006,29,weiblich,471500
2006,29,Insgesamt,956383
2006,30,männlich,478862
2006,30,weiblich,465317
2006,30,Insgesamt,944179
2006,31,männlich,468482
2006,31,weiblich,452830
2006,31,Insgesamt,921312
2006,32,männlich,474552
2006,32,weiblich,461317
2006,32,Insgesamt,935869
2006,33,männlich,480739
2006,33,weiblich,467249
2006,33,Insgesamt,947988
2006,34,männlich,529595
2006,34,weiblich,511643
2006,34,Insgesamt,1041238
2006,35,männlich,586556
2006,35,weiblich,564068
2006,35,Insgesamt,1150624
2006,36,männlich,615998
2006,36,weiblich,588739
2006,36,Insgesamt,1204737
2006,37,männlich,662583
2006,37,weiblich,631261
2006,37,Insgesamt,1293844
2006,38,männlich,695220
2006,38,weiblich,661541
2006,38,Insgesamt,1356761
2006,39,männlich,712202
2006,39,weiblich,679252
2006,39,Insgesamt,1391454
2006,40,männlich,733688
2006,40,weiblich,697539
2006,40,Insgesamt,1431227
2006,41,männlich,741508
2006,41,weiblich,699626
2006,41,Insgesamt,1441134
2006,42,männlich,752770
2006,42,weiblich,713620
2006,42,Insgesamt,1466390
2006,43,männlich,747781
2006,43,weiblich,710969
2006,43,Insgesamt,1458750
2006,44,männlich,722998
2006,44,weiblich,691348
2006,44,Insgesamt,1414346
2006,45,männlich,709297
2006,45,weiblich,684546
2006,45,Insgesamt,1393843
2006,46,männlich,689437
2006,46,weiblich,666531
2006,46,Insgesamt,1355968
2006,47,männlich,667725
2006,47,weiblich,645656
2006,47,Insgesamt,1313381
2006,48,männlich,633992
2006,48,weiblich,613066
2006,48,Insgesamt,1247058
2006,49,männlich,620101
2006,49,weiblich,601655
2006,49,Insgesamt,1221756
2006,50,männlich,603338
2006,50,weiblich,588945
2006,50,Insgesamt,1192283
2006,51,männlich,583626
2006,51,weiblich,574463
2006,51,Insgesamt,1158089
2006,52,männlich,569604
2006,52,weiblich,569755
2006,52,Insgesamt,1139359
2006,53,männlich,549938
2006,53,weiblich,554583
2006,53,Insgesamt,1104521
2006,54,männlich,550339
2006,54,weiblich,556644
2006,54,Insgesamt,1106983
2006,55,männlich,538887
2006,55,weiblich,546045
2006,55,Insgesamt,1084932
2006,56,männlich,541514
2006,56,weiblich,549645
2006,56,Insgesamt,1091159
2006,57,männlich,524413
2006,57,weiblich,528615
2006,57,Insgesamt,1053028
2006,58,männlich,482700
2006,58,weiblich,484907
2006,58,Insgesamt,967607
2006,59,männlich,452112
2006,59,weiblich,458611
2006,59,Insgesamt,910723
2006,60,männlich,394862
2006,60,weiblich,401890
2006,60,Insgesamt,796752
2006,61,männlich,345715
2006,61,weiblich,358695
2006,61,Insgesamt,704410
2006,62,männlich,458794
2006,62,weiblich,475121
2006,62,Insgesamt,933915
2006,63,männlich,465461
2006,63,weiblich,482173
2006,63,Insgesamt,947634
2006,64,männlich,450735
2006,64,weiblich,470500
2006,64,Insgesamt,921235
2006,65,männlich,539849
2006,65,weiblich,571855
2006,65,Insgesamt,1111704
2006,66,männlich,562637
2006,66,weiblich,605161
2006,66,Insgesamt,1167798
2006,67,männlich,545612
2006,67,weiblich,594627
2006,67,Insgesamt,1140239
2006,68,männlich,503219
2006,68,weiblich,555338
2006,68,Insgesamt,1058557
2006,69,männlich,462429
2006,69,weiblich,518449
2006,69,Insgesamt,980878
2006,70,männlich,440089
2006,70,weiblich,505139
2006,70,Insgesamt,945228
2006,71,männlich,415707
2006,71,weiblich,485535
2006,71,Insgesamt,901242
2006,72,männlich,377242
2006,72,weiblich,449712
2006,72,Insgesamt,826954
2006,73,männlich,295267
2006,73,weiblich,361164
2006,73,Insgesamt,656431
2006,74,männlich,284041
2006,74,weiblich,358099
2006,74,Insgesamt,642140
2006,75,männlich,278622
2006,75,weiblich,363207
2006,75,Insgesamt,641829
2006,76,männlich,280555
2006,76,weiblich,379151
2006,76,Insgesamt,659706
2006,77,männlich,258979
2006,77,weiblich,364007
2006,77,Insgesamt,622986
2006,78,männlich,244323
2006,78,weiblich,354525
2006,78,Insgesamt,598848
2006,79,männlich,207807
2006,79,weiblich,332100
2006,79,Insgesamt,539907
2006,80,männlich,181756
2006,80,weiblich,327219
2006,80,Insgesamt,508975
2006,81,männlich,160204
2006,81,weiblich,319845
2006,81,Insgesamt,480049
2006,82,männlich,128719
2006,82,weiblich,293559
2006,82,Insgesamt,422278
2006,83,männlich,112967
2006,83,weiblich,272222
2006,83,Insgesamt,385189
2006,84,männlich,106504
2006,84,weiblich,262186
2006,84,Insgesamt,368690
2006,85 +,männlich,416053
2006,85 +,weiblich,1223608
2006,85 +,Insgesamt,1639661
2006,Insgesamt,männlich,40000000
2006,Insgesamt,weiblich,42000000
2006,Insgesamt,Insgesamt,82314906
2007,unter 1 Jahr,männlich,352042
2007,unter 1 Jahr,weiblich,333453
2007,unter 1 Jahr,Insgesamt,685495
2007,1,männlich,347455
2007,1,weiblich,328687
2007,1,Insgesamt,676142
2007,2,männlich,353441
2007,2,weiblich,335740
2007,2,Insgesamt,689181
2007,3,männlich,363391
2007,3,weiblich,344951
2007,3,Insgesamt,708342
2007,4,männlich,364085
2007,4,weiblich,345799
2007,4,Insgesamt,709884
2007,5,männlich,371069
2007,5,weiblich,352205
2007,5,Insgesamt,723274
2007,6,männlich,379380
2007,6,weiblich,360006
2007,6,Insgesamt,739386
2007,7,männlich,394904
2007,7,weiblich,377665
2007,7,Insgesamt,772569
2007,8,männlich,398459
2007,8,weiblich,376795
2007,8,Insgesamt,775254
2007,9,männlich,406162
2007,9,weiblich,385635
2007,9,Insgesamt,791797
2007,10,männlich,419200
2007,10,weiblich,397925
2007,10,Insgesamt,817125
2007,11,männlich,412363
2007,11,weiblich,390731
2007,11,Insgesamt,803094
2007,12,männlich,399515
2007,12,weiblich,379607
2007,12,Insgesamt,779122
2007,13,männlich,405421
2007,13,weiblich,384000
2007,13,Insgesamt,789421
2007,14,männlich,421620
2007,14,weiblich,399990
2007,14,Insgesamt,821610
2007,15,männlich,431939
2007,15,weiblich,411302
2007,15,Insgesamt,843241
2007,16,männlich,450160
2007,16,weiblich,427952
2007,16,Insgesamt,878112
2007,17,männlich,496271
2007,17,weiblich,470763
2007,17,Insgesamt,967034
2007,18,männlich,491413
2007,18,weiblich,468729
2007,18,Insgesamt,960142
2007,19,männlich,509360
2007,19,weiblich,485075
2007,19,Insgesamt,994435
2007,20,männlich,502778
2007,20,weiblich,480153
2007,20,Insgesamt,982931
2007,21,männlich,496898
2007,21,weiblich,479695
2007,21,Insgesamt,976593
2007,22,männlich,485096
2007,22,weiblich,470500
2007,22,Insgesamt,955596
2007,23,männlich,488323
2007,23,weiblich,473978
2007,23,Insgesamt,962301
2007,24,männlich,495459
2007,24,weiblich,482620
2007,24,Insgesamt,978079
2007,25,männlich,511541
2007,25,weiblich,497751
2007,25,Insgesamt,1009292
2007,26,männlich,509707
2007,26,weiblich,499716
2007,26,Insgesamt,1009423
