Altersgruppe,percentage_of_total
1 Jahr bis unter 5 Jahre,0
10 bis unter 15 Jahre,0
15 bis unter 20 Jahre,3.3
20 bis unter 25 Jahre,17.16
25 bis unter 30 Jahre,18.74
30 bis unter 35 Jahre,17.61
35 bis unter 40 Jahre,12.33
40 bis unter 45 Jahre,9.84
45 bis unter 50 Jahre,9.66
5 bis unter 10 Jahre,0
50 bis unter 55 Jahre,6.55
55 bis unter 60 Jahre,3.02
60 bis unter 65 Jahre,1.35
65 bis unter 70 Jahre,0.36
70 bis unter 75 Jahre,0.09
75 bis unter 80 Jahre,0
80 bis unter 85 Jahre,0
85 bis unter 90 Jahre,0
90 bis unter 95 Jahre,0
95 Jahre und älter,0
Unter 1 Jahr,0
