Jahr,Unter 1 Jahr,1 Jahr bis unter 5 Jahre,5 bis unter 10 Jahre,10 bis unter 15 Jahre,15 bis unter 20 Jahre,20 bis unter 25 Jahre,25 bis unter 30 Jahre,30 bis unter 35 Jahre,35 bis unter 40 Jahre,40 bis unter 45 Jahre,45 bis unter 50 Jahre,50 bis unter 55 Jahre,55 bis unter 60 Jahre,60 bis unter 65 Jahre,65 bis unter 70 Jahre,70 bis unter 75 Jahre,75 bis unter 80 Jahre,80 bis unter 85 Jahre,85 bis unter 90 Jahre,90 bis unter 95 Jahre,95 Jahre und älter
2005,0,0,0,0,0,3,28,33,24,10,10,0,3,0,0,0,0,0,0,0,0
2006,0,0,0,0,7,25,44,59,58,67,36,17,8,7,0,0,0,0,0,0,0
2007,1,0,0,0,14,38,57,74,60,81,34,18,11,3,3,2,0,0,0,0,0
2008,0,0,0,0,12,51,57,69,64,89,58,30,8,6,1,0,0,1,0,0,0
2009,0,0,0,0,21,57,62,82,65,77,41,30,13,8,0,0,0,0,0,0,0
2010,0,0,0,0,20,67,79,107,81,70,48,50,9,11,4,1,0,0,0,0,0
2011,0,0,0,0,26,95,97,102,92,109,79,42,19,2,4,2,0,0,0,0,0
2012,0,0,0,0,25,123,148,160,95,92,114,61,20,11,4,5,1,0,0,0,0
2013,0,0,0,0,23,161,164,182,115,75,109,50,28,17,5,2,0,1,0,0,0
2014,0,0,0,0,22,184,184,174,129,109,122,62,33,10,1,0,0,0,0,0,0
2015,0,0,0,0,47,196,231,208,144,98,125,83,34,15,4,0,0,0,0,0,0
2016,1,1,0,0,73,280,288,225,195,147,125,104,41,15,3,1,1,0,0,0,0
2017,0,0,0,0,72,281,309,213,162,142,100,108,58,22,6,1,1,0,0,0,0
2018,0,0,0,0,109,377,385,228,197,147,115,104,67,27,10,1,0,0,0,0,0
2019,0,0,0,0,175,500,500,328,237,145,117,121,82,41,16,0,0,0,0,0,0
2020,0,0,0,0,162,511,472,288,208,150,94,106,63,39,17,4,2,0,0,0,0
2021,0,0,0,0,187,715,580,357,193,172,124,104,66,26,11,4,1,0,0,0,0
2022,0,0,0,0,158,663,623,369,213,186,105,93,81,30,18,3,0,0,0,0,0
2023,0,0,0,0,180,835,712,439,264,193,135,112,102,42,18,5,0,0,0,0,0
2024,0,0,0,0,180,884,923,535,320,219,141,108,95,50,10,8,1,1,0,0,0
