Jahr,0-10 Jährige,10-20 Jährige,20-30 Jährige,30-40 Jährige,40-50 Jährige,50-60 Jährige,60-70 Jährige,70-80 Jährige,80-90 Jährige,90 und ältere
2005,0,0,31,57,20,3,0,0,0,0
2006,0,7,69,117,103,25,7,0,0,0
2007,1,14,95,134,115,29,6,2,0,0
2008,0,12,108,133,147,38,7,0,1,0
2009,0,21,119,147,118,43,8,0,0,0
2010,0,20,146,188,118,59,15,1,0,0
2011,0,26,192,194,188,61,6,2,0,0
2012,0,25,271,255,206,81,15,6,0,0
2013,0,23,325,297,184,78,22,2,1,0
2014,0,22,368,303,231,95,11,0,0,0
2015,0,47,427,352,223,117,19,0,0,0
2016,2,73,568,420,272,145,18,2,0,0
2017,0,72,590,375,242,166,28,2,0,0
2018,0,109,762,425,262,171,37,1,0,0
2019,0,175,1000,565,262,203,57,0,0,0
2020,0,162,983,496,244,169,56,6,0,0
2021,0,187,1295,550,296,170,37,5,0,0
2022,0,158,1286,582,291,174,48,3,0,0
2023,0,180,1547,703,328,214,60,5,0,0
2024,0,180,1807,855,360,203,60,9,1,0
