Geschlecht,Altersgruppe,Year,median_num_surgeries_per_year
trans* Frauen,40-45,2006,46
trans* Männer,30-35,2006,46
trans* Frauen,40-45,2007,44
trans* Männer,30-35,2007,56
trans* Frauen,35-40,2008,40
trans* Männer,30-35,2008,46
trans* Frauen,40-45,2009,48
trans* Männer,30-35,2009,57
trans* Frauen,40-45,2010,45
trans* Männer,30-35,2010,74
trans* Frauen,40-45,2011,52
trans* Männer,25-30,2011,79
trans* Frauen,45-50,2012,66
trans* Männer,30-35,2012,119
trans* Frauen,45-50,2013,68
trans* Männer,30-35,2013,148
trans* Frauen,45-50,2014,67
trans* Männer,25-30,2014,148
trans* Frauen,25-30,2015,62
trans* Männer,25-30,2015,171
trans* Frauen,30-35,2016,70
trans* Männer,25-30,2016,240
trans* Frauen,25-30,2017,91
trans* Männer,25-30,2017,229
trans* Frauen,25-30,2018,95
trans* Männer,20-25,2018,305
trans* Frauen,25-30,2019,124
trans* Männer,25-30,2019,399
trans* Frauen,20-25,2020,117
trans* Männer,20-25,2020,403
trans* Frauen,25-30,2021,165
trans* Männer,20-25,2021,568
trans* Frauen,25-30,2022,194
trans* Männer,20-25,2022,505
trans* Frauen,20-25,2023,250
trans* Männer,20-25,2023,591
trans* Frauen,25-30,2024,347
trans* Männer,20-25,2024,609
