Bundesland,Altersgruppe,percentage_of_total
Baden-Württemberg,1 Jahr bis unter 5 Jahre,0
Baden-Württemberg,10 bis unter 15 Jahre,0
Baden-Württemberg,15 bis unter 20 Jahre,3.39
Baden-Württemberg,20 bis unter 25 Jahre,17.8
Baden-Württemberg,25 bis unter 30 Jahre,25.42
Baden-Württemberg,30 bis unter 35 Jahre,16.1
Baden-Württemberg,35 bis unter 40 Jahre,9.75
Baden-Württemberg,40 bis unter 45 Jahre,8.9
Baden-Württemberg,45 bis unter 50 Jahre,7.63
Baden-Württemberg,5 bis unter 10 Jahre,0
Baden-Württemberg,50 bis unter 55 Jahre,5.51
Baden-Württemberg,55 bis unter 60 Jahre,3.81
Baden-Württemberg,60 bis unter 65 Jahre,1.69
Baden-Württemberg,65 bis unter 70 Jahre,0
Baden-Württemberg,70 bis unter 75 Jahre,0
Baden-Württemberg,75 bis unter 80 Jahre,0
Baden-Württemberg,80 bis unter 85 Jahre,0
Baden-Württemberg,85 bis unter 90 Jahre,0
Baden-Württemberg,90 bis unter 95 Jahre,0
Baden-Württemberg,95 Jahre und älter,0
Baden-Württemberg,Unter 1 Jahr,0
Bayern,1 Jahr bis unter 5 Jahre,0
Bayern,10 bis unter 15 Jahre,0
Bayern,15 bis unter 20 Jahre,3.69
Bayern,20 bis unter 25 Jahre,18.43
Bayern,25 bis unter 30 Jahre,18.43
Bayern,30 bis unter 35 Jahre,18.43
Bayern,35 bis unter 40 Jahre,13.36
Bayern,40 bis unter 45 Jahre,11.98
Bayern,45 bis unter 50 Jahre,8.29
Bayern,5 bis unter 10 Jahre,0
Bayern,50 bis unter 55 Jahre,4.15
Bayern,55 bis unter 60 Jahre,1.61
Bayern,60 bis unter 65 Jahre,1.15
Bayern,65 bis unter 70 Jahre,0.46
Bayern,70 bis unter 75 Jahre,0
Bayern,75 bis unter 80 Jahre,0
Bayern,80 bis unter 85 Jahre,0
Bayern,85 bis unter 90 Jahre,0
Bayern,90 bis unter 95 Jahre,0
Bayern,95 Jahre und älter,0
Bayern,Unter 1 Jahr,0
Berlin,1 Jahr bis unter 5 Jahre,0
Berlin,10 bis unter 15 Jahre,0
Berlin,15 bis unter 20 Jahre,3.75
Berlin,20 bis unter 25 Jahre,20.42
Berlin,25 bis unter 30 Jahre,17.92
Berlin,30 bis unter 35 Jahre,19.58
Berlin,35 bis unter 40 Jahre,12.5
Berlin,40 bis unter 45 Jahre,9.17
Berlin,45 bis unter 50 Jahre,7.08
Berlin,5 bis unter 10 Jahre,0
Berlin,50 bis unter 55 Jahre,4.17
Berlin,55 bis unter 60 Jahre,4.17
Berlin,60 bis unter 65 Jahre,1.25
Berlin,65 bis unter 70 Jahre,0
Berlin,70 bis unter 75 Jahre,0
Berlin,75 bis unter 80 Jahre,0
Berlin,80 bis unter 85 Jahre,0
Berlin,85 bis unter 90 Jahre,0
Berlin,90 bis unter 95 Jahre,0
Berlin,95 Jahre und älter,0
Berlin,Unter 1 Jahr,0
Brandenburg,1 Jahr bis unter 5 Jahre,0
Brandenburg,10 bis unter 15 Jahre,0
Brandenburg,15 bis unter 20 Jahre,0
Brandenburg,20 bis unter 25 Jahre,11.32
Brandenburg,25 bis unter 30 Jahre,9.43
Brandenburg,30 bis unter 35 Jahre,15.09
Brandenburg,35 bis unter 40 Jahre,16.98
Brandenburg,40 bis unter 45 Jahre,18.87
Brandenburg,45 bis unter 50 Jahre,11.32
Brandenburg,5 bis unter 10 Jahre,0
Brandenburg,50 bis unter 55 Jahre,11.32
Brandenburg,55 bis unter 60 Jahre,5.66
Brandenburg,60 bis unter 65 Jahre,0
Brandenburg,65 bis unter 70 Jahre,0
Brandenburg,70 bis unter 75 Jahre,0
Brandenburg,75 bis unter 80 Jahre,0
Brandenburg,80 bis unter 85 Jahre,0
Brandenburg,85 bis unter 90 Jahre,0
Brandenburg,90 bis unter 95 Jahre,0
Brandenburg,95 Jahre und älter,0
Brandenburg,Unter 1 Jahr,0
Bremen,1 Jahr bis unter 5 Jahre,0
Bremen,10 bis unter 15 Jahre,0
Bremen,15 bis unter 20 Jahre,0
Bremen,20 bis unter 25 Jahre,23.08
Bremen,25 bis unter 30 Jahre,26.92
Bremen,30 bis unter 35 Jahre,23.08
Bremen,35 bis unter 40 Jahre,11.54
