Altersgruppe,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
1 Jahr bis unter 5 Jahre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 bis unter 15 Jahre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 bis unter 20 Jahre,3.39,3.69,3.75,0,0,0,6.41,0,3.3,6.15,5.19,8.7,3.61,0,4,0
20 bis unter 25 Jahre,17.8,18.43,20.42,11.32,23.08,24.39,18.59,8.7,17.58,17.14,14.29,30.43,16.87,23.53,24,11.54
25 bis unter 30 Jahre,25.42,18.43,17.92,9.43,26.92,17.07,18.59,21.74,23.63,18.24,25.97,21.74,15.66,17.65,12,19.23
30 bis unter 35 Jahre,16.1,18.43,19.58,15.09,23.08,17.07,16.67,21.74,12.64,14.07,16.88,8.7,16.87,11.76,18,15.38
35 bis unter 40 Jahre,9.75,13.36,12.5,16.98,11.54,12.2,12.18,13.04,10.44,13.63,10.39,8.7,15.66,11.76,10,19.23
40 bis unter 45 Jahre,8.9,11.98,9.17,18.87,7.69,17.07,10.26,8.7,9.89,10.11,10.39,8.7,10.84,11.76,8,15.38
45 bis unter 50 Jahre,7.63,8.29,7.08,11.32,3.85,4.88,8.33,17.39,10.99,8.79,7.79,8.7,7.23,11.76,10,7.69
5 bis unter 10 Jahre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50 bis unter 55 Jahre,5.51,4.15,4.17,11.32,3.85,4.88,5.13,8.7,7.69,7.47,5.19,4.35,7.23,11.76,10,3.85
55 bis unter 60 Jahre,3.81,1.61,4.17,5.66,0,2.44,2.56,0,2.2,3.08,2.6,0,3.61,0,4,7.69
60 bis unter 65 Jahre,1.69,1.15,1.25,0,0,0,1.28,0,1.1,0.88,1.3,0,2.41,0,0,0
65 bis unter 70 Jahre,0,0.46,0,0,0,0,0,0,0.55,0.44,0,0,0,0,0,0
70 bis unter 75 Jahre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75 bis unter 80 Jahre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80 bis unter 85 Jahre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85 bis unter 90 Jahre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90 bis unter 95 Jahre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95 Jahre und älter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unter 1 Jahr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
