Jahr,Geschlecht,Zahl
2005,Alle Geschlechter,629
2006,Alle Geschlechter,723
2007,Alle Geschlechter,793
2008,Alle Geschlechter,825
2009,Alle Geschlechter,864
2010,Alle Geschlechter,994
2011,Alle Geschlechter,1131
2012,Alle Geschlechter,1424
2013,Alle Geschlechter,1631
2014,Alle Geschlechter,1834
2015,Alle Geschlechter,2215
2016,Alle Geschlechter,2802
2017,Alle Geschlechter,2860
2018,Alle Geschlechter,3383
2019,Alle Geschlechter,4180
2020,Alle Geschlechter,4197
2021,Alle Geschlechter,4701
2022,Alle Geschlechter,4850
2023,Alle Geschlechter,5804
2024,Alle Geschlechter,6303
