Jahr,Altersgruppe,Geschlecht,Bundesland,Anzahl,Wohnort.Behandlungsort
2005,Alle Altersgruppen,Männlich,Deutschland,120,Nach Behandlungsort
2005,Alle Altersgruppen,Weiblich,Deutschland,0,Nach Behandlungsort
2005,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2006,Alle Altersgruppen,Männlich,Deutschland,170,Nach Behandlungsort
2006,Alle Altersgruppen,Weiblich,Deutschland,175,Nach Behandlungsort
2006,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2007,Alle Altersgruppen,Männlich,Deutschland,205,Nach Behandlungsort
2007,Alle Altersgruppen,Weiblich,Deutschland,214,Nach Behandlungsort
2007,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2008,Alle Altersgruppen,Männlich,Deutschland,215,Nach Behandlungsort
2008,Alle Altersgruppen,Weiblich,Deutschland,247,Nach Behandlungsort
2008,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2009,Alle Altersgruppen,Männlich,Deutschland,254,Nach Behandlungsort
2009,Alle Altersgruppen,Weiblich,Deutschland,218,Nach Behandlungsort
2009,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2010,Alle Altersgruppen,Männlich,Deutschland,287,Nach Behandlungsort
2010,Alle Altersgruppen,Weiblich,Deutschland,277,Nach Behandlungsort
2010,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2011,Alle Altersgruppen,Männlich,Deutschland,415,Nach Behandlungsort
2011,Alle Altersgruppen,Weiblich,Deutschland,276,Nach Behandlungsort
2011,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2012,Alle Altersgruppen,Männlich,Deutschland,542,Nach Behandlungsort
2012,Alle Altersgruppen,Weiblich,Deutschland,341,Nach Behandlungsort
2012,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2013,Alle Altersgruppen,Männlich,Deutschland,580,Nach Behandlungsort
2013,Alle Altersgruppen,Weiblich,Deutschland,378,Nach Behandlungsort
2013,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2014,Alle Altersgruppen,Männlich,Deutschland,666,Nach Behandlungsort
2014,Alle Altersgruppen,Weiblich,Deutschland,385,Nach Behandlungsort
2014,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2015,Alle Altersgruppen,Männlich,Deutschland,782,Nach Behandlungsort
2015,Alle Altersgruppen,Weiblich,Deutschland,423,Nach Behandlungsort
2015,Alle Altersgruppen,Unbekannt,Deutschland,1,Nach Behandlungsort
2016,Alle Altersgruppen,Männlich,Deutschland,996,Nach Behandlungsort
2016,Alle Altersgruppen,Weiblich,Deutschland,532,Nach Behandlungsort
2016,Alle Altersgruppen,Unbekannt,Deutschland,1,Nach Behandlungsort
2017,Alle Altersgruppen,Männlich,Deutschland,939,Nach Behandlungsort
2017,Alle Altersgruppen,Weiblich,Deutschland,566,Nach Behandlungsort
2017,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2018,Alle Altersgruppen,Männlich,Deutschland,1196,Nach Behandlungsort
2018,Alle Altersgruppen,Weiblich,Deutschland,619,Nach Behandlungsort
2018,Alle Altersgruppen,Unbekannt,Deutschland,1,Nach Behandlungsort
2019,Alle Altersgruppen,Männlich,Deutschland,1597,Nach Behandlungsort
2019,Alle Altersgruppen,Weiblich,Deutschland,727,Nach Behandlungsort
2019,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2020,Alle Altersgruppen,Männlich,Deutschland,1462,Nach Behandlungsort
2020,Alle Altersgruppen,Weiblich,Deutschland,693,Nach Behandlungsort
2020,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2021,Alle Altersgruppen,Männlich,Deutschland,1719,Nach Behandlungsort
2021,Alle Altersgruppen,Weiblich,Deutschland,879,Nach Behandlungsort
2021,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2022,Alle Altersgruppen,Männlich,Deutschland,1667,Nach Behandlungsort
2022,Alle Altersgruppen,Weiblich,Deutschland,933,Nach Behandlungsort
2022,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2023,Alle Altersgruppen,Männlich,Deutschland,1834,Nach Behandlungsort
2023,Alle Altersgruppen,Weiblich,Deutschland,1241,Nach Behandlungsort
2023,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
2024,Alle Altersgruppen,Männlich,Deutschland,2000,Nach Behandlungsort
2024,Alle Altersgruppen,Weiblich,Deutschland,1520,Nach Behandlungsort
2024,Alle Altersgruppen,Unbekannt,Deutschland,0,Nach Behandlungsort
