Alter,Zahl
16-Jährige,792341
17-Jährige,793349
18-Jährige,792901
19-Jährige,817999
20-Jährige,843316
21-Jährige,834907
22-Jährige,857842
23-Jährige,893523
24-Jährige,952560
25-Jährige,968463
26-Jährige,994345
27-Jährige,1020294
28-Jährige,1001001
29-Jährige,980890
30-Jährige,988288
31-Jährige,1015189
32-Jährige,1033390
33-Jährige,1060509
34-Jährige,1151887
35-Jährige,1139320
36-Jährige,1165498
37-Jährige,1143025
38-Jährige,1124922
39-Jährige,1092066
40-Jährige,1083525
41-Jährige,1083458
42-Jährige,1099294
43-Jährige,1086742
44-Jährige,1088001
45-Jährige,1032845
46-Jährige,1014045
47-Jährige,999487
48-Jährige,976705
49-Jährige,947515
50-Jährige,956347
51-Jährige,957400
52-Jährige,1035320
53-Jährige,1138063
54-Jährige,1173661
55-Jährige,1251796
56-Jährige,1301334
57-Jährige,1324870
58-Jährige,1351436
59-Jährige,1344152
60-Jährige,1360738
61-Jährige,1339742
62-Jährige,1294344
63-Jährige,1269790
64-Jährige,1214279
65-Jährige,1169242
66-Jährige,1091834
67-Jährige,1059429
68-Jährige,1024594
69-Jährige,979854
70-Jährige,949236
71-Jährige,904559
72-Jährige,890040
73-Jährige,859165
74-Jährige,842694
Summe,61953361
