Name,Addresse,Lat,Long,Fallzahl F64,Fallzahl 5-646.0,Fallzahl 5-646.1,Bettenanzahl,Stationäre Fälle insgesamt
Städtisches Klinikum Dresden - Standort Neustadt/Trachau,Industriestr. 40 01129 Dresden,,,10,Datenschutz,0,336,13411
Universitätsklinikum Dresden Carl-G.- Carus der TU Dresden,Fetscherstr. 74 01307 Dresden,,,15,0,0,1410,55565
Städtisches Klinikum Dresden - Standort Weißer Hirsch,Heinrich-Cotta-Straße 12 01324 Dresden,,,Datenschutz,0,0,218,3150
Elblandkliniken Meißen-Radebeul Standort Radebeul,Heinrich-Zille-Str. 13 01445 Radebeul,,,5,0,0,345,11224
Städt. Klinikum Görlitz GmbH,Girbigsdorfer Str. 1-3 02828 Görlitz,,,Datenschutz,0,0,550,21003
Krankenhaus Spremberg,Karl-Marx-Str. 80 03130 Spremberg,,,Datenschutz,0,0,205,4664
Universitätsklinikum Leipzig AöR,Liebigstr. 20 04103 Leipzig,,,71,20,33,1451,54810
Klinikum St. Georg,Delitzscher Str. 141 04129 Leipzig,,,Datenschutz,0,Datenschutz,842,28778
St. Elisabeth Krankenhaus,Biedermannstr. 84 04277 Leipzig,,,Datenschutz,0,0,374,19831
Universitätsklinikum Halle (Saale),Ernst-Grube-Str. 40 06120 Halle (Saale),,,6,0,0,815,35687
Universitätsklinikum Jena Lobeda,Am Klinikum 1 07747 Jena,,,5,0,0,1218,43136
Kliniken Erlabrunn gGmbH,Am Märzenberg 1a 08359 Breitenbrunn,,,Datenschutz,0,0,340,7997
Klinikum Chemnitz,Flemmingstraße 2 09116 Chemnitz,,,Datenschutz,0,0,1384,49209
DRK-Krankenhaus Chemnitz-Rabenstein,Unritzstr. 23 09117 Chemnitz,,,19,0,0,297,15291
"Klinikum Chemnitz, Krankenhaus Dresdner Straße",Dresdner Straße 178 09131 Chemnitz,,,Datenschutz,0,0,401,7264
"Charité-Universitätsmedizin Berlin, Campus Charité Mitte",Charitéplatz 1 10117 Berlin,,,46,Datenschutz,Datenschutz,3011,130282
Sana Klinikum Lichtenberg Oskar-Ziethen Krankenhaus,Fanninger Str. 32 10365 Berlin,,,33,19,8,672,28524
Klinik Schöneberg,Fuggerstr. 23 10777 Berlin,,,Datenschutz,0,0,34,642
Evangelische Elisabeth Klinik,Lützowstr. 24-26 10785 Berlin,,,398,385,11,145,7430
Vivantes Klinikum Am Urban,Dieffenbachstraße 1 10967 Berlin,,,Datenschutz,0,Datenschutz,607,24345
St. Joseph-Krankenhaus Tempelhof,Bäumerplan 24 12101 Berlin,,,Datenschutz,0,0,506,24127
Vivantes Klinikum Neukölln,Rudower Straße 48 12351 Berlin,,,Datenschutz,0,0,1377,38991
DRK Kliniken Berlin Köpenick,Salvador-Allende-Str. 2-8 12559 Berlin,,,Datenschutz,0,0,564,23015
Vivantes Klinikum Kaulsdorf,Myslowitzer Straße 45 12621 Berlin,,,Datenschutz,0,0,477,12205
BG Klinikum Unfallkrankenhaus Berlin gGmbH,Warener Str. 7 12683 Berlin,,,Datenschutz,Datenschutz,0,588,22760
HELIOS Klinikum Berlin-Buch,Schwanebecker Chaussee 50 13125 Berlin,,,Datenschutz,0,0,1223,47860
Vivantes Humboldt-Klinikum,Am Nordgraben 2 13509 Berlin,,,Datenschutz,0,0,788,23688
Ev. Waldkrankenhaus Spandau,Stadtrandstr. 555-561 13589 Berlin,,,Datenschutz,0,0,514,22703
DRK Kliniken Berlin Westend,Spandauer Damm 130 14050 Berlin,,,22,Datenschutz,0,590,25996
Schloßpark-Klinik GmbH,Heubnerweg 2 14059 Berlin,,,Datenschutz,0,0,340,9827
HELIOS Klinikum Emil von Behring,Walterhöferstr. 11 14165 Berlin,,,161,170,8,507,20536
Martin-Luther-Krankenhaus,Caspar-Theyss-Str. 27 14193 Berlin,,,Datenschutz,Datenschutz,0,275,16095
Klinikum Frankfurt (Oder),Müllroser Chaussee 7 15236 Frankfurt (Oder),,,Datenschutz,0,0,775,21411
HELIOS Klinikum Bad Saarow,Pieskower Str. 33 15526 Bad Saarow-Pieskow,,,Datenschutz,0,0,629,25431
Immanuel Klinik Rüdersdorf,Seebad 82/83 15562 Rüdersdorf,,,Datenschutz,0,0,412,13266
Immanuel Klinikum Bernau Herzzentrum Brandenburg Universitätsklinikum der MHB Theodor Fontane,Ladeburger Str. 17 16321 Bernau,,,Datenschutz,0,0,290,12171
Asklepios Klinik Pasewalk,Prenzlauer Chaussee 30 17309 Pasewalk,,,Datenschutz,0,0,185,8508
Universitätsmedizin Greifswald,Fleischmannstraße 8 17475 Greifswald,,,Datenschutz,0,0,930,33547
Klinikum Südstadt Rostock,Südring 81 18059 Rostock,,,7,0,0,513,23734
KMG Klinikum Güstrow,Friedr.-Trendelenburg-Allee 1 18273 Güstrow,,,Datenschutz,0,0,451,16869
Universitätsklinikum Hamburg-Eppendorf,Martinistr. 52 20246 Hamburg,,,303,36,143,1741,77457
Agaplesion Diakonieklinikum Hamburg,Hohe Weide 17 20259 Hamburg,,,25,0,0,385,16916
Städtisches Klinikum Lüneburg gGmbH,Bögelstr. 1 21339 Lüneburg,,,Datenschutz,0,0,563,28400
Krankenhaus Reinbek St.-Adolfstift,Hamburger Str. 41 21465 Reinbek,,,609,0,0,351,17944
Ev. Krankenhaus Alsterdorf,Bodelschwinghstr. 24 22337 Hamburg,,,Datenschutz,0,0,405,5634
Universitätsklinikum Schleswig-Holstein Campus Kiel,Arnold-Heller-Str. 3 24105 Kiel,,,Datenschutz,0,0,958,47923
Zentrum für Integrative Psychiatrie Kiel - ZIP gGmbH,Niemannsweg 147 24105 Kiel,,,Datenschutz,0,0,251,1913
DIAKO Krankenhaus Flensburg,Knuthstr. 1 24939 Flensburg,,,Datenschutz,0,0,400,19884
Klinikum Itzehoe,Robert-Koch-Str. 2 25524 Itzehoe,,,31,11,16,601,31658
Westküstenkliniken Brunsbüttel und Heide gGmbH Standort Heide,Esmarchstraße 50 25746 Heide,,,Datenschutz,0,0,681,22317
Ev. Krankenhaus Oldenburg,Steinweg 13-17 26122 Oldenburg,,,Datenschutz,0,0,417,19107
Ubbo-Emmius-Klinik gGmbH Klinik Aurich,Wallinghausener Str. 8 26603 Aurich,,,Datenschutz,0,0,285,17190
Bundeswehrkrankenhaus Westerstede,Lange Str. 38 26655 Westerstede,,,Datenschutz,0,0,135,4087
"Marien Hospital Papenburg-Aschendorf, Standort Aschendorf",Marienstraße 8 26871 Aschendorf,,,Datenschutz,0,0,275,477
Klinikum Bremerhaven Reinkenheide,Postbrookstraße 103 27574 Bremerhaven,,,Datenschutz,0,0,792,25501
Kreiskrankenhaus Osterholz,Am Krankenhaus 4 27711 Osterholz-Scharmbeck,,,Datenschutz,0,0,128,7061
Klinikum Bremen-Mitte gGmbH,St.-Jürgen-Str. 1 28205 Bremen,,,Datenschutz,0,0,877,35557
Krankenhaus St.Joseph-Stift,Schwachhauser Heerstr. 54 28209 Bremen,,,Datenschutz,0,0,456,19426
DIAKO Ev. Diakonie-Krankenhaus gGmbH,Gröpelinger Heerstr. 406 28239 Bremen,,,Datenschutz,0,0,388,16195
Klinikum Bremen-Ost,Züricher Str. 40 28325 Bremen,,,Datenschutz,0,0,716,14647
Klinikum Bremen-Nord,Hammersbeckerstr. 228 28755 Bremen,,,Datenschutz,0,0,415,16014
Klinikum Region Hannover GmbH Klinikum Siloah,Stadionbrücke 4 30459 Hannover,,,Datenschutz,0,0,564,23284
Medizinische Hochschule Hannover,Carl-Neuberg-Str. 1 30625 Hannover,,,8,0,0,1520,53004
Klinikum Hildesheim GmbH,Senator-Braun-Allee 33 31135 Hildesheim,,,9,0,0,579,24896
Klinikum Region Hannover GmbH Krankenhaus Neustadt a. Rbg.,Lindenstr. 75 31535 Neustadt,,,Datenschutz,0,0,272,13964
Sana-Klinikum Hameln-Pyrmont,Saint-Maur-Platz 1 31785 Hameln,,,6,0,0,402,18413
Klinikum Herford,Schwarzenmoorstr. 70 32049 Herford,,,Datenschutz,0,0,755,26565
Klinikum Lippe Bad Salzuflen,Heldmanstraße 45 32108 Bad Salzuflen,,,Datenschutz,0,0,88,467
Johannes Wesling Klinikum Minden,Hans-Nolte-Str. 1 32429 Minden,,,Datenschutz,0,0,864,36564
St. Vincenz-Krankenhaus,Am Busdorf 2 33098 Paderborn,,,Datenschutz,0,0,587,31073
Franziskus Hospital,Kiskerstraße 26 33615 Bielefeld,,,Datenschutz,0,0,616,11370
"Evangelisches Klinikum Bethel, Standort Gilead",Kantensiek 11 33617 Bielefeld,,,Datenschutz,0,0,1040,28099
Elisabeth Krankenhaus gGmbH,Weinbergstr. 7 34117 Kassel,,,7,0,0,198,9855
Agaplesion Diakonie-Kliniken Kassel,Herkulesstr. 34 34119 Kassel,,,Datenschutz,0,0,316,16343
Klinikum Kassel gGmbH,Mönchebergstr. 41-43 34125 Kassel,,,Datenschutz,0,0,1061,48540
Universitätsklinikum Giessen und Marburg - Standort Marburg,Baldingerstr. 35043 Marburg,,,Datenschutz,0,0,931,38663
Universitätsklinikum Gießen und Marburg - Standort Gießen,Rudolf-Buchheim-Str. 6 35392 Gießen,,,Datenschutz,0,0,1279,42648
AGAPLESION EVANGELISCHES KRANKENHAUS MITTELHESSEN gGmbH,Paul-Zipp-Straße 171 35398 Gießen,,,Datenschutz,0,0,263,10783
Agaplesion Krankenhaus Neu-Bethlehem gGmbH,Humboldtallee 8 37073 Göttingen,,,Datenschutz,0,0,100,8960
Kliniken der Georg-August-Universität,Robert-Koch-Str. 40 37075 Göttingen,,,Datenschutz,0,0,1634,49367
Evang. Krankenhaus Göttingen-Weende e.V.,An der Lutter 24 37075 Göttingen,,,7,0,0,433,18063
HELIOS Albert-Schweitzer-Klinik Northeim,Albert-Schweitzer-Weg 1 37154 Northeim,,,Datenschutz,0,0,210,10857
Krankenhaus Marienstift,Helmstedter Str. 35 a 38102 Braunschweig,,,Datenschutz,0,0,147,9357
Helios Klinikum Salzgitter,Kattowitzer-Str. 191 38226 Salzgitter,,,Datenschutz,0,0,296,15869
AMEOS Klinikum Halberstadt GmbH,Gleimstr. 5 38820 Halberstadt,,,Datenschutz,0,0,331,17138
Universitätsklinikum Magdeburg - Gerhart-Hauptmann-Straße,Gerhart-Hauptmann-Straße 35 39108 Magdeburg,,,9,0,0,107,5990
Universitätsklinikum Magdeburg,Leipziger Str. 44 39120 Magdeburg,,,36,Datenschutz,13,842,32289
Klinikum Magdeburg gGmbH,Birkenallee 34 39130 Magdeburg,,,5,0,0,791,28307
Universitätsklinikum Düsseldorf,Moorenstr. 5 40225 Düsseldorf,,,Datenschutz,0,0,1247,46122
