"Name","Addresse","Fallzahl F64","text-muted","Bettananzahl","Stationäre Fälle insgesamt"
"Städtisches Klinikum Dresden - Standort Neustadt/Trachau","Industriestr. 40
                                01129 Dresden","Datenschutz","Niedrige Fallzahl","336","13,411"
"Universitätsklinikum Leipzig AöR","Liebigstr. 20
                                04103 Leipzig","20","Mittlere Fallzahl","1,451","54,810"
"Charité-Universitätsmedizin Berlin, Campus Charité Mitte","Charitéplatz 1
                                10117 Berlin","Datenschutz","Niedrige Fallzahl","3,011","130,282"
"Sana Klinikum Lichtenberg Oskar-Ziethen Krankenhaus","Fanninger Str. 32
                                10365 Berlin","19","Mittlere Fallzahl","672","28,524"
"Evangelische Elisabeth Klinik","Lützowstr. 24-26
                                10785 Berlin","385","Hohe Fallzahl","145","7,430"
"BG Klinikum Unfallkrankenhaus Berlin gGmbH","Warener Str. 7
                                12683 Berlin","Datenschutz","Niedrige Fallzahl","588","22,760"
"DRK Kliniken Berlin Westend","Spandauer Damm 130
                                14050 Berlin","Datenschutz","Niedrige Fallzahl","590","25,996"
"HELIOS Klinikum Emil von Behring","Walterhöferstr. 11
                                14165 Berlin","170","Hohe Fallzahl","507","20,536"
"Martin-Luther-Krankenhaus","Caspar-Theyss-Str. 27
                                14193 Berlin","Datenschutz","Niedrige Fallzahl","275","16,095"
"Universitätsklinikum Hamburg-Eppendorf","Martinistr. 52
                                20246 Hamburg","36","Hohe Fallzahl","1,741","77,457"
"Klinikum Itzehoe","Robert-Koch-Str. 2
                                25524 Itzehoe","11","Mittlere Fallzahl","601","31,658"
"Universitätsklinikum Magdeburg","Leipziger Str. 44
                                39120 Magdeburg","Datenschutz","Niedrige Fallzahl","842","32,289"
"St. Rochus-Hospital","Glückaufstr. 10
                                44575 Castrop-Rauxel","Datenschutz","Niedrige Fallzahl","204","8,696"
"Berufsgenossenschaftliche Kliniken Bergmannsheil - Universitätsklinik -","Bürkle-de-la-Camp-Platz 1
                                44789 Bochum","Datenschutz","Niedrige Fallzahl","512","16,610"
"Kliniken Essen-Mitte Ev. Huyssens-Stiftung","Henricistr. 92
                                45136 Essen","81","Hohe Fallzahl","438","15,070"
"Universitätsklinikum der Gesamthochschule Essen","Hufelandstr. 55
                                45147 Essen","Datenschutz","Niedrige Fallzahl","1,161","51,323"
"St. Marien-Hospital Borken","Am Boltenhof 7
                                46325 Borken","21","Mittlere Fallzahl","316","11,264"
"Universitätsklinikum Münster","Albert-Schweitzer-Campus 1
                                48149 Münster","Datenschutz","Niedrige Fallzahl","1,621","47,208"
"Fachklinik Hornheide","Dorbaumstr. 300
                                48157 Münster","4","Mittlere Fallzahl","140","6,313"
"Eduardus-Krankenhaus","Custodisstr. 3-17
                                50679 Köln","Datenschutz","Niedrige Fallzahl","212","8,378"
"Marien-Hospital","Marienplatz 2
                                58452 Witten","Datenschutz","Niedrige Fallzahl","342","29,598"
"AGAPLESION MARKUS KRANKENHAUS","Wilhelm-Epstein-Straße 4
                                60431 Frankfurt am Main","155","Hohe Fallzahl","635","20,722"
"Universitätsklinikum Mannheim","Theodor-Kutzer-Ufer 1-3
                                68167 Mannheim","7","Mittlere Fallzahl","1,352","44,176"
"Universitätsklinikum Freiburg","Hugstetter Str. 49
                                79106 Freiburg","Datenschutz","Niedrige Fallzahl","1,693","64,106"
"Rotkreuzklinikum München","Nymphenburger Straße 163
                                80634 München","50","Hohe Fallzahl","435","19,677"
"Dr. Lubos Kliniken Pasing","Schmiedwegerl 2-6
                                81241 München","288","Hohe Fallzahl","45","1,236"
"Dr. Lubos Kliniken Bogenhausen","Denninger Str. 44
                                81679 München","383","Hohe Fallzahl","85","3,866"
"Urologische Klinik München-Planegg","Germeringer Str. 32
                                82152 Planegg","325","Hohe Fallzahl","75","3,515"
