"Klinikname","Addresse","Fallzahl 5-646.1","Bettenanzahl","Stationäre Fälle insgesamt"
"Universitätsklinikum Leipzig AöR","Liebigstr. 20
                                04103 Leipzig","33","1,451","54,810"
"Klinikum St. Georg","Delitzscher Str. 141
                                04129 Leipzig","Datenschutz","842","28,778"
"Charité-Universitätsmedizin Berlin, Campus Charité Mitte","Charitéplatz 1
                                10117 Berlin","Datenschutz","3,011","130,282"
"Sana Klinikum Lichtenberg Oskar-Ziethen Krankenhaus","Fanninger Str. 32
                                10365 Berlin","8","672","28,524"
"Evangelische Elisabeth Klinik","Lützowstr. 24-26
                                10785 Berlin","11","145","7,430"
"Vivantes Klinikum Am Urban","Dieffenbachstraße  1
                                10967 Berlin","Datenschutz","607","24,345"
"HELIOS Klinikum Emil von Behring","Walterhöferstr. 11
                                14165 Berlin","8","507","20,536"
"Universitätsklinikum Hamburg-Eppendorf","Martinistr. 52
                                20246 Hamburg","143","1,741","77,457"
"Klinikum Itzehoe","Robert-Koch-Str. 2
                                25524 Itzehoe","16","601","31,658"
"Universitätsklinikum Magdeburg","Leipziger Str. 44
                                39120 Magdeburg","13","842","32,289"
"Kliniken Essen-Mitte Ev. Huyssens-Stiftung","Henricistr. 92
                                45136 Essen","111","438","15,070"
"Universitätsklinikum der Gesamthochschule Essen","Hufelandstr. 55
                                45147 Essen","74","1,161","51,323"
"Helios Marien Klinik","Grunewaldstraße 96
                                47053 Duisburg","5","374","6,457"
"Alexianer Krefeld GmbH Krankenhaus Maria-Hilf Krefeld","Dießemer Bruch 81
                                47805 Krefeld","Datenschutz","575","15,546"
"Klinikum Osnabrück GmbH","Am Finkenhügel 1
                                49076 Osnabrück","Datenschutz","735","32,619"
"AGAPLESION MARKUS KRANKENHAUS","Wilhelm-Epstein-Straße 4
                                60431 Frankfurt am Main","44","635","20,722"
"Universitätsklinikum Mannheim","Theodor-Kutzer-Ufer 1-3
                                68167 Mannheim","72","1,352","44,176"
"Universitätsklinikum Freiburg","Hugstetter Str. 49
                                79106 Freiburg","Datenschutz","1,693","64,106"
"Rotkreuzklinikum München","Nymphenburger Straße 163
                                80634 München","230","435","19,677"
"Dr. Lubos Kliniken Pasing","Schmiedwegerl 2-6
                                81241 München","106","45","1,236"
