"Name","Addresse","Fallzahl F64","Bettananzahl","Stationäre Fälle insgesamt"
"Städtisches Klinikum Dresden - Standort Neustadt/Trachau","Industriestr. 40
                                01129 Dresden","10","336","13,411"
"Universitätsklinikum Dresden Carl-G.- Carus der TU Dresden","Fetscherstr. 74
                                01307 Dresden","15","1,410","55,565"
"Städtisches Klinikum Dresden - Standort Weißer Hirsch","Heinrich-Cotta-Straße 12
                                01324 Dresden","Datenschutz","218","3,150"
"Elblandkliniken Meißen-Radebeul Standort Radebeul","Heinrich-Zille-Str. 13
                                01445 Radebeul","5","345","11,224"
"Städt. Klinikum Görlitz GmbH","Girbigsdorfer Str. 1-3
                                02828 Görlitz","Datenschutz","550","21,003"
"Krankenhaus Spremberg","Karl-Marx-Str. 80
                                03130 Spremberg","Datenschutz","205","4,664"
"Universitätsklinikum Leipzig AöR","Liebigstr. 20
                                04103 Leipzig","71","1,451","54,810"
"Klinikum St. Georg","Delitzscher Str. 141
                                04129 Leipzig","Datenschutz","842","28,778"
"St. Elisabeth Krankenhaus","Biedermannstr. 84
                                04277 Leipzig","Datenschutz","374","19,831"
"Universitätsklinikum Halle (Saale)","Ernst-Grube-Str. 40
                                06120 Halle (Saale)","6","815","35,687"
"Universitätsklinikum Jena Lobeda","Am Klinikum 1
                                07747 Jena","5","1,218","43,136"
"Kliniken Erlabrunn gGmbH","Am Märzenberg 1a
                                08359 Breitenbrunn","Datenschutz","340","7,997"
"Klinikum Chemnitz","Flemmingstraße 2
                                09116 Chemnitz","Datenschutz","1,384","49,209"
"DRK-Krankenhaus Chemnitz-Rabenstein","Unritzstr. 23
                                09117 Chemnitz","19","297","15,291"
"Klinikum Chemnitz, Krankenhaus Dresdner Straße","Dresdner Straße 178
                                09131 Chemnitz","Datenschutz","401","7,264"
"Charité-Universitätsmedizin Berlin, Campus Charité Mitte","Charitéplatz 1
                                10117 Berlin","46","3,011","130,282"
"Sana Klinikum Lichtenberg Oskar-Ziethen Krankenhaus","Fanninger Str. 32
                                10365 Berlin","33","672","28,524"
"Klinik Schöneberg","Fuggerstr. 23
                                10777 Berlin","Datenschutz","34","642"
