Jahr,Geschlecht,Altersgruppe,Zahl
2024,insgesamt,Insgesamt,3519
2024,insgesamt,0-17 Jahre,33
2024,insgesamt,18 und älter,3486
2024,männlich,Insgesamt,2000
2024,männlich,0-17 Jahre,12
2024,männlich,18 und älter,1988
2024,weiblich,Insgesamt,1519
2024,weiblich,0-17 Jahre,21
2024,weiblich,18 und älter,1498
2023,insgesamt,Insgesamt,3072
2023,insgesamt,0-17 Jahre,38
2023,insgesamt,18 und älter,3034
2023,männlich,Insgesamt,1833
2023,männlich,0-17 Jahre,18
2023,männlich,18 und älter,1815
2023,weiblich,Insgesamt,1239
2023,weiblich,0-17 Jahre,20
2023,weiblich,18 und älter,1219
2022,insgesamt,Insgesamt,2599
2022,insgesamt,0-17 Jahre,21
2022,insgesamt,18 und älter,2578
2022,männlich,Insgesamt,1667
2022,männlich,0-17 Jahre,15
2022,männlich,18 und älter,1652
2022,weiblich,Insgesamt,932
2022,weiblich,0-17 Jahre,6
2022,weiblich,18 und älter,926
2021,insgesamt,Insgesamt,2596
2021,insgesamt,0-17 Jahre,33
2021,insgesamt,18 und älter,2563
2021,männlich,Insgesamt,1718
2021,männlich,0-17 Jahre,19
2021,männlich,18 und älter,1699
2021,weiblich,Insgesamt,878
2021,weiblich,0-17 Jahre,14
2021,weiblich,18 und älter,864
2020,insgesamt,Insgesamt,2154
2020,insgesamt,0-17 Jahre,25
2020,insgesamt,18 und älter,2129
2020,männlich,Insgesamt,1462
2020,männlich,0-17 Jahre,17
2020,männlich,18 und älter,1445
2020,weiblich,Insgesamt,692
2020,weiblich,0-17 Jahre,8
2020,weiblich,18 und älter,684
2019,insgesamt,Insgesamt,2324
2019,insgesamt,0-17 Jahre,27
2019,insgesamt,18 und älter,2297
2019,männlich,Insgesamt,1597
2019,männlich,0-17 Jahre,17
2019,männlich,18 und älter,1580
2019,weiblich,Insgesamt,727
2019,weiblich,0-17 Jahre,10
2019,weiblich,18 und älter,717
2018,insgesamt,Insgesamt,1812
2018,insgesamt,0-17 Jahre,16
2018,insgesamt,18 und älter,1796
2018,männlich,Insgesamt,1194
2018,männlich,0-17 Jahre,9
2018,männlich,18 und älter,1185
2018,weiblich,Insgesamt,617
2018,weiblich,0-17 Jahre,7
2018,weiblich,18 und älter,610
2017,insgesamt,Insgesamt,1504
2017,insgesamt,0-17 Jahre,10
2017,insgesamt,18 und älter,1494
2017,männlich,Insgesamt,939
2017,männlich,0-17 Jahre,3
2017,männlich,18 und älter,936
2017,weiblich,Insgesamt,565
2017,weiblich,0-17 Jahre,7
2017,weiblich,18 und älter,558
2016,insgesamt,Insgesamt,1529
2016,insgesamt,0-17 Jahre,13
2016,insgesamt,18 und älter,1516
2016,männlich,Insgesamt,996
2016,männlich,0-17 Jahre,5
2016,männlich,18 und älter,991
2016,weiblich,Insgesamt,532
2016,weiblich,0-17 Jahre,8
2016,weiblich,18 und älter,524
2015,insgesamt,Insgesamt,1205
2015,insgesamt,0-17 Jahre,6
2015,insgesamt,18 und älter,1199
2015,männlich,Insgesamt,782
2015,männlich,0-17 Jahre,2
2015,männlich,18 und älter,780
2015,weiblich,Insgesamt,422
2015,weiblich,0-17 Jahre,4
2015,weiblich,18 und älter,418
2014,insgesamt,Insgesamt,1051
2014,insgesamt,0-17 Jahre,5
2014,insgesamt,18 und älter,1046
2014,männlich,Insgesamt,666
2014,männlich,0-17 Jahre,4
2014,männlich,18 und älter,662
2014,weiblich,Insgesamt,385
2014,weiblich,0-17 Jahre,1
2014,weiblich,18 und älter,384
2013,insgesamt,Insgesamt,955
2013,insgesamt,0-17 Jahre,5
2013,insgesamt,18 und älter,950
2013,männlich,Insgesamt,579
2013,männlich,0-17 Jahre,2
2013,männlich,18 und älter,577
2013,weiblich,Insgesamt,376
2013,weiblich,0-17 Jahre,3
2013,weiblich,18 und älter,373
2012,insgesamt,Insgesamt,882
2012,insgesamt,0-17 Jahre,3
2012,insgesamt,18 und älter,879
2012,männlich,Insgesamt,542
2012,männlich,0-17 Jahre,2
2012,männlich,18 und älter,540
2012,weiblich,Insgesamt,340
2012,weiblich,0-17 Jahre,1
